date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source
260326,108.97,EUR,TAP Air Portugal,1,400,2026-03-26T16:50:00,2026-03-26T23:30:00,CMN,MAD,2026-03-13T16:19:58.116464,unified-search
260326,359.0,EUR,Royal Air Maroc,0,105,2026-03-26T13:45:00,2026-03-26T15:30:00,CMN,MAD,2026-03-13T16:19:58.116464,unified-search
260326,290.18,EUR,Iberia,0,105,2026-03-26T13:45:00,2026-03-26T15:30:00,CMN,MAD,2026-03-13T16:19:58.116464,unified-search
260326,781.0,EUR,Royal Air Maroc,0,105,2026-03-26T18:55:00,2026-03-26T20:40:00,CMN,MAD,2026-03-13T16:19:58.116464,unified-search
260327,78.97,EUR,Iberia,0,105,2026-03-27T18:55:00,2026-03-27T20:40:00,CMN,MAD,2026-03-13T16:20:09.284273,unified-search
260327,113.79,EUR,Air Arabia Maroc,0,105,2026-03-27T13:50:00,2026-03-27T15:35:00,CMN,MAD,2026-03-13T16:20:09.284273,unified-search
260327,81.0,EUR,Vueling Airlines,0,105,2026-03-27T18:55:00,2026-03-27T20:40:00,CMN,MAD,2026-03-13T16:20:09.284273,unified-search
260327,195.99,EUR,Royal Air Maroc,0,105,2026-03-27T10:15:00,2026-03-27T12:00:00,CMN,MAD,2026-03-13T16:20:09.284273,unified-search
260327,165.99,EUR,Royal Air Maroc,0,105,2026-03-27T16:20:00,2026-03-27T18:05:00,CMN,MAD,2026-03-13T16:20:09.284273,unified-search
260327,192.99,EUR,Iberia,0,105,2026-03-27T10:15:00,2026-03-27T12:00:00,CMN,MAD,2026-03-13T16:20:09.284273,unified-search
260327,181.97,EUR,Iberia,0,105,2026-03-27T13:45:00,2026-03-27T15:30:00,CMN,MAD,2026-03-13T16:20:09.284273,unified-search
260327,160.97,EUR,Iberia,0,105,2026-03-27T16:20:00,2026-03-27T18:05:00,CMN,MAD,2026-03-13T16:20:09.284273,unified-search
260327,332.0,EUR,Royal Air Maroc,0,105,2026-03-27T13:45:00,2026-03-27T15:30:00,CMN,MAD,2026-03-13T16:20:09.284273,unified-search
260327,191.99,EUR,Royal Air Maroc,0,105,2026-03-27T18:55:00,2026-03-27T20:40:00,CMN,MAD,2026-03-13T16:20:09.284273,unified-search
260328,93.99,EUR,Royal Air Maroc,0,105,2026-03-28T10:15:00,2026-03-28T12:00:00,CMN,MAD,2026-03-13T16:20:18.968198,unified-search
260328,115.99,EUR,Royal Air Maroc,0,105,2026-03-28T16:20:00,2026-03-28T18:05:00,CMN,MAD,2026-03-13T16:20:18.968198,unified-search
260328,121.97,EUR,Iberia,0,105,2026-03-28T16:20:00,2026-03-28T18:05:00,CMN,MAD,2026-03-13T16:20:18.968198,unified-search
260328,121.97,EUR,Iberia,0,105,2026-03-28T10:15:00,2026-03-28T12:00:00,CMN,MAD,2026-03-13T16:20:18.968198,unified-search
260328,176.27,EUR,Iberia,0,105,2026-03-28T13:45:00,2026-03-28T15:30:00,CMN,MAD,2026-03-13T16:20:18.968198,unified-search
260328,185.0,EUR,Vueling Airlines,0,105,2026-03-28T13:45:00,2026-03-28T15:30:00,CMN,MAD,2026-03-13T16:20:18.968198,unified-search
260328,313.0,EUR,Royal Air Maroc,0,105,2026-03-28T13:45:00,2026-03-28T15:30:00,CMN,MAD,2026-03-13T16:20:18.968198,unified-search
260328,974.97,EUR,Qatar Airways,0,105,2026-03-28T13:45:00,2026-03-28T15:30:00,CMN,MAD,2026-03-13T16:20:18.968198,unified-search
260328,108.97,EUR,TAP Air Portugal,1,400,2026-03-28T16:50:00,2026-03-28T23:30:00,CMN,MAD,2026-03-13T16:20:18.968198,unified-search
260328,108.97,EUR,TAP Air Portugal,1,480,2026-03-28T12:20:00,2026-03-28T20:20:00,CMN,MAD,2026-03-13T16:20:18.968198,unified-search
260329,98.24,EUR,Iberia,0,105,2026-03-29T17:55:00,2026-03-29T20:40:00,CMN,MAD,2026-03-13T16:20:30.491154,unified-search
260329,127.24,EUR,Iberia,0,110,2026-03-29T12:30:00,2026-03-29T15:20:00,CMN,MAD,2026-03-13T16:20:30.491154,unified-search
260329,100.0,EUR,Vueling Airlines,0,105,2026-03-29T17:55:00,2026-03-29T20:40:00,CMN,MAD,2026-03-13T16:20:30.491154,unified-search
260329,199.0,EUR,Royal Air Maroc,0,105,2026-03-29T09:50:00,2026-03-29T12:35:00,CMN,MAD,2026-03-13T16:20:30.491154,unified-search
260329,151.0,EUR,Vueling Airlines,0,110,2026-03-29T12:30:00,2026-03-29T15:20:00,CMN,MAD,2026-03-13T16:20:30.491154,unified-search
